date,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod,opec_tot_prod,opec_crud_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons,non-oecd_cons,world_cons
2010-01-01,79.9225,,,,,,8.323,1033.243,726.617,4.864,33.855902,28.977104,33.477104,4.5,53.09629347,45.532182753,38.541242012,84.073424765
2010-01-02,80.455,,,,,,8.400142857142857,1033.7712857142856,726.6168571428572,4.864,33.86392312903226,28.981915290322583,33.47546367741935,4.493548387096774,53.10798737622581,45.59841163209678,38.62905134438709,84.22746297648388
2010-01-03,80.9875,,,,,,8.477285714285715,1034.2995714285714,726.6167142857142,4.864,33.87194425806452,28.98672658064516,33.47382335483871,4.487096774193549,53.11968128245161,45.66464051119355,38.71686067677419,84.38150118796773
2010-01-04,81.52,79.05,81.51,82.12,82.65,83.12,8.554428571428572,1034.827857142857,726.6165714285714,4.864,33.879965387096775,28.991537870967743,33.47218303225806,4.480645161290322,53.13137518867742,45.73086939029032,38.804670009161285,84.53553939945161
2010-01-05,81.74,79.27,81.77,82.41,82.99,83.52,8.631571428571428,1035.356142857143,726.6164285714285,4.864,33.88798651612903,28.996349161290322,33.47054270967742,4.474193548387097,53.143069094903225,45.7970982693871,38.89247934154839,84.68957761093549
2010-01-06,83.12,80.14,83.18,83.75,84.31,84.86,8.708714285714285,1035.8844285714285,726.6162857142857,4.864,33.89600764516129,29.001160451612904,33.46890238709677,4.467741935483871,53.154763001129034,45.86332714848387,38.98028867393548,84.84361582241935
2010-01-07,82.6,80.57,82.66,83.19,83.75,84.29,8.785857142857143,1036.4127142857144,726.6161428571428,4.864,33.90402877419355,29.005971741935483,33.46726206451613,4.461290322580645,53.166456907354835,45.929556027580645,39.06809800632258,84.99765403390322
2010-01-08,82.74,80.06,82.75,83.3,83.87,84.47,8.863,1036.941,726.616,4.864,33.91204990322581,29.010783032258065,33.46562174193548,4.45483870967742,53.17815081358064,45.99578490667742,39.155907338709675,85.1516922453871
2010-01-09,82.67333333333333,,,,,,8.812142857142856,1036.8737142857144,726.616,4.85,33.920071032258065,29.015594322580647,33.46398141935484,4.448387096774193,53.18984471980645,46.06201378577419,39.24371667109677,85.30573045687096
2010-01-10,82.60666666666667,,,,,,8.761285714285714,1036.8064285714286,726.616,4.836,33.92809216129032,29.020405612903225,33.46234109677419,4.441935483870967,53.20153862603226,46.12824266487097,39.331526003483866,85.45976866835483
2010-01-11,82.54,80.14,82.52,83.01,83.55,84.14,8.71042857142857,1036.739142857143,726.616,4.822,33.93611329032258,29.025216903225807,33.46070077419355,4.435483870967742,53.21323253225806,46.194471543967744,39.41933533587097,85.6138068798387
2010-01-12,80.79,79.38,80.79,81.17,81.7,82.28,8.659571428571429,1036.671857142857,726.616,4.808,33.94413441935484,29.030028193548386,33.4590604516129,4.429032258064516,53.22492643848387,46.26070042306451,39.507144668258064,85.76784509132258
2010-01-13,79.66,77.57,79.65,80.04,80.6,81.21,8.608714285714285,1036.6045714285715,726.616,4.794,33.9521555483871,29.034839483870968,33.45742012903226,4.422580645161291,53.23662034470968,46.32692930216129,39.59495400064516,85.92188330280645
2010-01-14,79.35,77.61,79.39,79.88,80.47,81.11,8.557857142857143,1036.5372857142856,726.616,4.78,33.960176677419355,29.03965077419355,33.45577980645161,4.416129032258064,53.248314250935486,46.393158181258066,39.682763333032256,86.07592151429031
2010-01-15,77.96,76.85,78.0,78.37,78.97,79.64,8.507,1036.47,726.616,4.766,33.96819780645161,29.04446206451613,33.45413948387097,4.409677419354838,53.26000815716129,46.459387060354835,39.77057266541935,86.2299597257742
2010-01-16,78.215,,,,,,8.410857142857143,1035.9144285714285,726.6158571428572,4.766,33.97621893548387,29.04927335483871,33.45249916129032,4.403225806451613,53.271702063387096,46.52561593945161,39.85838199780645,86.38399793725806
2010-01-17,78.47,,,,,,8.314714285714285,1035.3588571428572,726.6157142857143,4.766,33.98424006451613,29.05408464516129,33.45085883870968,4.396774193548387,53.283395969612904,46.59184481854839,39.94619133019355,86.53803614874194
2010-01-18,78.725,,,,,,8.218571428571428,1034.8032857142857,726.6155714285715,4.766,33.99226119354839,29.05889593548387,33.44921851612903,4.390322580645162,53.29508987583871,46.658073697645165,40.034000662580645,86.6920743602258
2010-01-19,78.98,75.18,79.02,79.32,79.81,80.4,8.122428571428571,1034.2477142857142,726.6154285714285,4.766,34.000282322580645,29.06370722580645,33.44757819354839,4.383870967741935,53.306783782064514,46.724302576741934,40.12180999496774,86.84611257170968
2010-01-20,77.42,75.09,77.62,77.74,78.23,78.85,8.026285714285715,1033.6921428571427,726.6152857142857,4.766,34.0083034516129,29.068518516129032,33.44593787096774,4.377419354838709,53.31847768829032,46.79053145583871,40.20961932735484,87.00015078319355
2010-01-21,75.84,74.13,76.08,76.53,77.13,77.74,7.930142857142856,1033.1365714285714,726.6151428571428,4.766,34.01632458064516,29.073329806451614,33.4442975483871,4.370967741935484,53.33017159451613,46.85676033493549,40.29742865974193,87.15418899467741
2010-01-22,74.25,72.73,74.54,74.92,75.46,76.05,7.834,1032.581,726.615,4.766,34.02434570967742,29.078141096774193,33.44265722580645,4.364516129032258,53.34186550074194,46.922989214032256,40.38523799212903,87.30822720616129
2010-01-23,74.46666666666667,,,,,,7.913857142857142,1032.9119999999998,726.615,4.766,34.03236683870968,29.082952387096775,33.44101690322581,4.358064516129032,53.35355940696774,46.98921809312903,40.47304732451613,87.46226541764517
2010-01-24,74.68333333333334,,,,,,7.993714285714286,1033.243,726.615,4.766,34.040387967741935,29.087763677419353,33.43937658064516,4.351612903225806,53.36525331319355,47.05544697222581,40.560856656903226,87.61630362912904
2010-01-25,74.9,72.18,75.26,75.69,76.27,76.84,8.073571428571428,1033.5739999999998,726.615,4.766,34.04840909677419,29.092574967741935,33.43773625806452,4.34516129032258,53.37694721941936,47.12167585132258,40.64866598929032,87.7703418406129
2010-01-26,74.67,72.63,74.71,75.15,75.73,76.29,8.153428571428572,1033.905,726.615,4.766,34.05643022580645,29.097386258064518,33.43609593548387,4.338709677419355,53.388641125645165,47.187904730419355,40.73647532167742,87.92438005209678
2010-01-27,73.64,72.75,73.67,74.15,74.75,75.32,8.233285714285715,1034.2359999999999,726.615,4.766,34.06445135483871,29.102197548387096,33.43445561290323,4.332258064516129,53.400335031870966,47.25413360951613,40.82428465406451,88.07841826358064
2010-01-28,73.62,70.65,73.64,74.07,74.64,75.18,8.313142857142857,1034.567,726.615,4.766,34.07247248387097,29.107008838709678,33.43281529032258,4.325806451612903,53.412028938096775,47.3203624886129,40.91209398645161,88.23245647506451
2010-01-29,72.85,71.2,72.89,73.35,73.95,74.53,8.393,1034.898,726.615,4.766,34.080493612903226,29.111820129032257,33.43117496774194,4.319354838709677,53.42372284432258,47.38659136770968,40.99990331883871,88.38649468654839
2010-01-30,73.36999999999999,,,,,,8.381,1035.2252857142857,726.6145714285715,4.777571428571429,34.088514741935484,29.11663141935484,33.42953464516129,4.312903225806451,53.43541675054839,47.45282024680645,41.08771265122581,88.54053289803227
2010-01-31,73.89,,,,,,8.369,1035.5525714285714,726.6141428571428,4.789142857142857,34.09653587096774,29.121442709677417,33.42789432258065,4.306451612903226,53.44711065677419,47.51904912590322,41.1755219836129,88.69457110951612
2010-02-01,74.41,71.58,74.43,74.91,75.52,76.11,8.357,1035.8798571428572,726.6137142857143,4.800714285714286,34.104557,29.126254,33.426254,4.3,53.458804563,47.585278005,41.263331316,88.848609321
2010-02-02,77.21,73.94,77.23,77.72,78.34,78.91,8.345,1036.2071428571428,726.6132857142857,4.812285714285714,34.1058125,29.128496357142858,33.42492492857143,4.296428571428571,53.47102866882143,47.57873736942857,41.25797748435714,88.83671485378571
2010-02-03,76.96,75.77,76.98,77.43,78.05,78.64,8.333,1036.5344285714286,726.6128571428571,4.823857142857143,34.107068,29.130738714285712,33.42359585714286,4.292857142857143,53.48325277464286,47.57219673385714,41.252623652714284,88.82482038657142
2010-02-04,73.13,71.3,73.14,73.54,74.14,74.74,8.321,1036.8617142857142,726.6124285714285,4.835428571428571,34.1083235,29.13298107142857,33.422266785714285,4.289285714285715,53.49547688046429,47.565656098285714,41.24726982107143,88.81292591935714
2010-02-05,71.15,70.11,71.19,71.52,71.95,72.45,8.309,1037.189,726.612,4.847,34.109579,29.13522342857143,33.420937714285714,4.285714285714286,53.50770098628571,47.55911546271429,41.24191598942857,88.80103145214287
2010-02-06,71.39,,,,,,8.33842857142857,1037.6297142857143,726.612,4.848000000000001,34.1108345,29.137465785714284,33.41960864285714,4.282142857142857,53.519925092107144,47.552574827142855,41.23656215778571,88.78913698492858
2010-02-07,71.63000000000001,,,,,,8.367857142857142,1038.0704285714287,726.612,4.849,34.11209,29.139708142857142,33.41827957142857,4.2785714285714285,53.532149197928575,47.54603419157143,41.231208326142855,88.77724251771428
2010-02-08,71.87,69.62,71.89,72.29,72.76,73.26,8.397285714285713,1038.5111428571429,726.612,4.8500000000000005,34.1133455,29.1419505,33.4169505,4.275,53.54437330375,47.539493556,41.2258544945,88.7653480505
2010-02-09,73.71,70.4,73.75,74.2,74.71,75.24,8.426714285714286,1038.951857142857,726.612,4.851,34.114601,29.144192857142855,33.41562142857143,4.271428571428571,53.55659740957143,47.53295292042857,41.22050066285714,88.7534535832857
2010-02-10,74.48,70.4,74.52,74.89,75.34,75.83,8.456142857142858,1039.3925714285713,726.612,4.852,34.1158565,29.146435214285713,33.414292357142855,4.267857142857142,53.568821515392855,47.526412284857145,41.215146831214284,88.74155911607143
2010-02-11,75.23,72.35,75.28,75.72,76.23,76.73,8.48557142857143,1039.8332857142857,726.612,4.853,34.117112,29.14867757142857,33.412963285714284,4.264285714285714,53.58104562121429,47.51987164928571,41.20979299957143,88.72966464885714
