,n_splits,train_size,rmse_tr,r2_tr,mae_tr,rmse_tt,r2_tt,mae_tt
9318,45.0,40.0,4.975081051787915,0.9782626395551451,3.9198085018770192,34.20583370624464,-20.09022400334245,29.885742909600886
9332,45.0,54.0,7.693000560641542,0.9773432371049987,6.140454543135171,34.36833612265992,-24.169508101187457,29.75799416925711
9322,45.0,44.0,5.738501100296661,0.978005146578076,4.54281993990971,34.47812095824192,-27.9418867493404,30.331228478840544
9331,45.0,53.0,7.528982104177328,0.9777216617693807,6.006605563768413,34.48013907187746,-24.067836030181688,29.87461171519042
9333,45.0,55.0,7.918509963302229,0.977607591041209,6.290768677922685,34.664574380605316,-25.10796574844459,30.210706689196204
9330,45.0,52.0,7.384519555329841,0.9775480711687988,5.862552666726979,34.677388052935505,-18.040792812386446,30.07267454085507
9338,45.0,60.0,8.859665448519355,0.9774711883868383,7.034166544281403,34.74332245930578,-12.493514432524528,30.363897820628598
9534,46.0,40.0,5.054689579727139,0.9785162667443563,3.9841781087170065,34.79121577462545,-30.580785985278375,30.54021139388708
9548,46.0,54.0,7.709067177949682,0.9776410797630222,6.150309540527089,34.96944957197949,-33.67540713086343,30.433685328242067
9321,45.0,43.0,5.556857834621389,0.9781090288909483,4.429595467722379,34.97402637438088,-32.75660745670934,30.808061371615683
9319,45.0,41.0,5.105398820847695,0.978478682098281,4.048454939430171,35.04297990948132,-37.0886621875511,30.683552529057543
9538,46.0,44.0,5.797056836307951,0.978288599899728,4.587406124328269,35.07684778070101,-37.36577754753478,30.99445802239979
9547,46.0,53.0,7.5486143401042565,0.9780112778042652,6.019370321581347,35.07882202230099,-33.57594532227082,30.54776771013335
9329,45.0,51.0,7.1564211629553975,0.9773422781022169,5.680405458720271,35.133858335442284,-22.006422064756528,30.490624707259318
9334,45.0,56.0,8.142370572617972,0.9778738957779699,6.4610190057431165,35.22670393886245,-15.709734433713425,30.824150792960427
9549,46.0,55.0,7.929674202291658,0.9778996868745322,6.297355976732265,35.25924786779564,-34.593463524919315,30.876556271660753
9546,46.0,52.0,7.407292281449105,0.9778414609123918,5.8784490092582065,35.27178298203169,-27.679924783123308,30.7415248221966
9339,45.0,61.0,9.0108722616751,0.9774957101988502,7.1717134990165015,35.32864948176363,-13.901116433284043,31.13093228270601
9554,46.0,60.0,8.850369785656238,0.9777662494952564,7.024593019909273,35.33628403174174,-22.253239411519253,31.02641716110549
9320,45.0,42.0,5.303746163388632,0.9782468678483178,4.197367075959233,35.36185817755833,-41.98366066298002,31.14660302280965
9537,46.0,43.0,5.619362337277793,0.9783902239014511,4.476643053710227,35.5619726443152,-42.075830413439185,31.4609249827233
9337,45.0,59.0,8.680039538310236,0.9774942785760252,6.8903121701667365,35.59815733252519,-12.7781682370183,31.19064196664158
9966,48.0,40.0,5.012902706730188,0.9792715771002856,3.9451624703814994,35.60079678828979,-29.787020792746432,31.314248544043693
9535,46.0,41.0,5.179980599545154,0.978740317404882,4.1070827823536415,35.624447820107314,-46.28425854123727,31.33435894491793
9545,46.0,51.0,7.184152549778455,0.977640141608127,5.700261523164687,35.71832999752745,-31.55934470392012,31.150389115418147
9335,45.0,57.0,8.299604196681944,0.9780887158825556,6.596087350172013,35.75339267757269,-13.334062872506227,31.34896596978122
9980,48.0,54.0,7.556681238360124,0.9784328562431738,6.021038425866162,35.77160417742075,-32.752699390598764,31.212161064467228
9550,46.0,56.0,8.148668276622278,0.9781602023778851,6.463905210469647,35.809157218264566,-25.399541586595348,31.476664634038798
9324,45.0,46.0,6.084783204682675,0.9771497135746827,4.82466990651334,35.8294970697005,-33.405595151547374,31.363236197805108
9970,48.0,44.0,5.724337994286799,0.9790533963741835,4.523255985342293,35.87452746077888,-36.28930437324215,31.74956822970171
9979,48.0,53.0,7.402913935424923,0.9787876293660319,5.895555007709826,35.87641944231219,-32.65738182403086,31.32149001377972
9530,46.0,36.0,4.351525565096249,0.9797627523285387,3.4290687761002094,35.90055605049238,-41.074744810794435,31.438108842146992
