date,Ardmore Woodford,Arkoma Woodford,Barnett,Cana Woodford,DJ-Niobrara,Eagle Ford,Fayetteville,Granite Wash,Haynesville,Marcellus,Mississippian,Permian,Utica,Williston,Others,Total US RigCount
2011-02-04,1.0,0.0,18.0,15.0,11.0,47.0,0.0,25.0,1.0,0.0,6.0,357.0,0.0,157.0,180.0,818.0
2011-02-05,1.0,0.0,18.0,14.571428571428571,10.857142857142858,46.857142857142854,0.0,24.857142857142858,1.0,0.0,6.285714285714286,356.7142857142857,0.0,157.14285714285714,178.85714285714286,816.1428571428571
2011-02-06,1.0,0.0,18.0,14.142857142857142,10.714285714285714,46.714285714285715,0.0,24.714285714285715,1.0,0.0,6.571428571428571,356.42857142857144,0.0,157.28571428571428,177.71428571428572,814.2857142857143
2011-02-07,1.0,0.0,18.0,13.714285714285715,10.571428571428571,46.57142857142857,0.0,24.571428571428573,1.0,0.0,6.857142857142857,356.14285714285717,0.0,157.42857142857142,176.57142857142858,812.4285714285714
2011-02-08,1.0,0.0,18.0,13.285714285714286,10.428571428571429,46.42857142857143,0.0,24.428571428571427,1.0,0.0,7.142857142857142,355.85714285714283,0.0,157.57142857142858,175.42857142857142,810.5714285714286
2011-02-09,1.0,0.0,18.0,12.857142857142858,10.285714285714286,46.285714285714285,0.0,24.285714285714285,1.0,0.0,7.428571428571429,355.57142857142856,0.0,157.71428571428572,174.28571428571428,808.7142857142857
2011-02-10,1.0,0.0,18.0,12.428571428571429,10.142857142857142,46.142857142857146,0.0,24.142857142857142,1.0,0.0,7.714285714285714,355.2857142857143,0.0,157.85714285714286,173.14285714285714,806.8571428571429
2011-02-11,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,355.0,0.0,158.0,172.0,805.0
2011-02-12,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,353.85714285714283,0.0,158.0,172.14285714285714,804.0
2011-02-13,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,352.7142857142857,0.0,158.0,172.28571428571428,803.0
2011-02-14,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,351.57142857142856,0.0,158.0,172.42857142857142,802.0
2011-02-15,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,350.42857142857144,0.0,158.0,172.57142857142858,801.0
2011-02-16,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,349.2857142857143,0.0,158.0,172.71428571428572,800.0
2011-02-17,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,348.14285714285717,0.0,158.0,172.85714285714286,799.0
2011-02-18,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,347.0,0.0,158.0,173.0,798.0
2011-02-19,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,345.57142857142856,0.0,158.0,172.28571428571428,795.8571428571429
2011-02-20,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,344.14285714285717,0.0,158.0,171.57142857142858,793.7142857142857
2011-02-21,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,342.7142857142857,0.0,158.0,170.85714285714286,791.5714285714286
2011-02-22,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,341.2857142857143,0.0,158.0,170.14285714285714,789.4285714285714
2011-02-23,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,339.85714285714283,0.0,158.0,169.42857142857142,787.2857142857143
2011-02-24,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,338.42857142857144,0.0,158.0,168.71428571428572,785.1428571428571
2011-02-25,1.0,0.0,18.0,12.0,10.0,46.0,0.0,24.0,1.0,0.0,8.0,337.0,0.0,158.0,168.0,783.0
2011-02-26,1.2857142857142856,0.0,18.0,12.285714285714286,10.285714285714286,47.285714285714285,0.0,24.0,1.0,0.0,7.857142857142857,337.0,0.0,158.57142857142858,168.0,785.5714285714286
2011-02-27,1.5714285714285714,0.0,18.0,12.571428571428571,10.571428571428571,48.57142857142857,0.0,24.0,1.0,0.0,7.714285714285714,337.0,0.0,159.14285714285714,168.0,788.1428571428571
2011-02-28,1.8571428571428572,0.0,18.0,12.857142857142858,10.857142857142858,49.85714285714286,0.0,24.0,1.0,0.0,7.571428571428571,337.0,0.0,159.71428571428572,168.0,790.7142857142857
2011-03-01,2.142857142857143,0.0,18.0,13.142857142857142,11.142857142857142,51.142857142857146,0.0,24.0,1.0,0.0,7.428571428571429,337.0,0.0,160.28571428571428,168.0,793.2857142857143
2011-03-02,2.4285714285714284,0.0,18.0,13.428571428571429,11.428571428571429,52.42857142857143,0.0,24.0,1.0,0.0,7.285714285714286,337.0,0.0,160.85714285714286,168.0,795.8571428571429
2011-03-03,2.7142857142857144,0.0,18.0,13.714285714285714,11.714285714285714,53.714285714285715,0.0,24.0,1.0,0.0,7.142857142857143,337.0,0.0,161.42857142857142,168.0,798.4285714285714
2011-03-04,3.0,0.0,18.0,14.0,12.0,55.0,0.0,24.0,1.0,0.0,7.0,337.0,0.0,162.0,168.0,801.0
2011-03-05,2.857142857142857,0.0,18.285714285714285,14.428571428571429,12.0,54.714285714285715,0.0,24.142857142857142,1.0,0.0,7.142857142857143,339.0,0.0,162.0,169.14285714285714,804.7142857142857
2011-03-06,2.7142857142857144,0.0,18.571428571428573,14.857142857142858,12.0,54.42857142857143,0.0,24.285714285714285,1.0,0.0,7.285714285714286,341.0,0.0,162.0,170.28571428571428,808.4285714285714
2011-03-07,2.5714285714285716,0.0,18.857142857142858,15.285714285714285,12.0,54.142857142857146,0.0,24.428571428571427,1.0,0.0,7.428571428571429,343.0,0.0,162.0,171.42857142857142,812.1428571428571
2011-03-08,2.428571428571429,0.0,19.142857142857142,15.714285714285714,12.0,53.857142857142854,0.0,24.571428571428573,1.0,0.0,7.571428571428571,345.0,0.0,162.0,172.57142857142858,815.8571428571429
2011-03-09,2.2857142857142856,0.0,19.428571428571427,16.142857142857142,12.0,53.57142857142857,0.0,24.714285714285715,1.0,0.0,7.714285714285714,347.0,0.0,162.0,173.71428571428572,819.5714285714286
2011-03-10,2.142857142857143,0.0,19.714285714285715,16.57142857142857,12.0,53.285714285714285,0.0,24.857142857142858,1.0,0.0,7.857142857142857,349.0,0.0,162.0,174.85714285714286,823.2857142857143
2011-03-11,2.0,0.0,20.0,17.0,12.0,53.0,0.0,25.0,1.0,0.0,8.0,351.0,0.0,162.0,176.0,827.0
2011-03-12,1.8571428571428572,0.0,19.857142857142858,16.142857142857142,12.0,53.42857142857143,0.0,25.0,1.0,0.0,8.285714285714286,352.0,0.0,162.0,177.14285714285714,828.7142857142857
2011-03-13,1.7142857142857144,0.0,19.714285714285715,15.285714285714286,12.0,53.857142857142854,0.0,25.0,1.0,0.0,8.571428571428571,353.0,0.0,162.0,178.28571428571428,830.4285714285714
2011-03-14,1.5714285714285714,0.0,19.571428571428573,14.428571428571429,12.0,54.285714285714285,0.0,25.0,1.0,0.0,8.857142857142858,354.0,0.0,162.0,179.42857142857142,832.1428571428571
2011-03-15,1.4285714285714286,0.0,19.428571428571427,13.571428571428571,12.0,54.714285714285715,0.0,25.0,1.0,0.0,9.142857142857142,355.0,0.0,162.0,180.57142857142858,833.8571428571429
2011-03-16,1.2857142857142858,0.0,19.285714285714285,12.714285714285715,12.0,55.142857142857146,0.0,25.0,1.0,0.0,9.428571428571429,356.0,0.0,162.0,181.71428571428572,835.5714285714286
2011-03-17,1.1428571428571428,0.0,19.142857142857142,11.857142857142858,12.0,55.57142857142857,0.0,25.0,1.0,0.0,9.714285714285714,357.0,0.0,162.0,182.85714285714286,837.2857142857143
2011-03-18,1.0,0.0,19.0,11.0,12.0,56.0,0.0,25.0,1.0,0.0,10.0,358.0,0.0,162.0,184.0,839.0
