date,Ardmore Woodford,Arkoma Woodford,Barnett,Cana Woodford,DJ-Niobrara,Eagle Ford,Fayetteville,Granite Wash,Haynesville,Marcellus,Mississippian,Permian,Utica,Williston,Others,Total US RigCount
2011-02-04,1,0,18,15,11,47,0,25,1,0,6,357,0,157,180,818
2011-02-11,1,0,18,12,10,46,0,24,1,0,8,355,0,158,172,805
2011-02-18,1,0,18,12,10,46,0,24,1,0,8,347,0,158,173,798
2011-02-25,1,0,18,12,10,46,0,24,1,0,8,337,0,158,168,783
2011-03-04,3,0,18,14,12,55,0,24,1,0,7,337,0,162,168,801
2011-03-11,2,0,20,17,12,53,0,25,1,0,8,351,0,162,176,827
2011-03-18,1,0,19,11,12,56,0,25,1,0,10,358,0,162,184,839
2011-03-25,1,0,21,9,14,63,0,25,2,0,6,362,0,165,183,851
2011-04-01,1,0,23,10,16,62,0,30,2,0,6,364,0,169,194,877
2011-04-08,2,0,21,9,16,68,1,25,3,0,7,370,0,169,195,886
2011-04-15,4,0,22,7,16,65,1,28,2,0,6,366,0,168,195,880
2011-04-22,4,0,20,8,17,90,1,25,1,0,6,372,0,169,200,913
2011-04-29,4,0,19,6,17,92,2,25,1,0,8,376,0,170,207,927
2011-05-06,4,0,17,5,17,95,3,23,1,0,9,383,0,169,211,937
2011-05-13,2,0,17,5,17,99,1,22,1,0,8,385,0,170,220,947
2011-05-20,2,0,17,5,16,102,1,19,1,0,11,384,0,171,225,954
2011-05-27,2,0,16,5,16,105,1,18,1,0,10,394,0,170,220,958
2011-06-03,2,0,18,5,16,102,0,15,1,0,12,396,0,169,223,959
2011-06-10,2,0,21,3,20,109,0,18,1,0,10,391,0,170,224,969
2011-06-17,2,0,19,2,18,115,0,18,1,0,11,392,0,174,232,984
2011-06-24,2,0,17,1,21,111,0,20,2,0,12,402,0,174,241,1003
2011-07-01,2,0,17,0,19,109,0,22,2,0,11,413,0,168,243,1006
2011-07-08,2,0,18,1,19,105,0,23,2,0,11,412,2,165,247,1007
2011-07-15,3,0,17,2,18,107,0,26,3,0,11,414,2,166,244,1013
2011-07-22,3,0,18,3,19,112,0,29,4,0,12,407,2,171,241,1021
2011-07-29,3,0,17,2,16,109,0,29,3,0,14,413,2,168,249,1025
2011-08-05,4,0,15,2,16,110,0,29,3,0,14,417,2,171,248,1031
2011-08-12,4,0,19,2,16,116,0,28,2,0,14,416,2,184,252,1055
2011-08-19,3,0,19,2,16,120,0,29,1,0,13,420,2,184,257,1066
2011-08-26,3,0,18,1,17,122,0,27,1,0,13,425,2,185,255,1069
2011-09-02,3,0,15,3,18,129,0,25,1,0,16,423,2,185,244,1064
2011-09-09,4,0,15,3,18,129,1,29,1,0,16,414,2,187,238,1057
2011-09-16,3,0,13,3,17,130,1,31,2,0,18,412,1,190,241,1062
2011-09-23,3,0,12,2,19,128,1,31,2,0,19,415,2,196,241,1071
2011-09-30,4,0,13,2,19,127,0,26,2,0,18,413,2,197,237,1060
2011-10-07,5,0,14,2,18,127,2,27,2,0,16,413,2,200,242,1070
2011-10-14,4,0,16,2,17,127,2,29,1,0,15,423,3,198,243,1080
2011-10-21,4,0,12,2,19,124,2,28,1,0,12,437,2,197,239,1079
2011-10-28,5,0,12,3,19,129,1,28,1,0,12,435,2,197,234,1078
2011-11-04,4,0,11,3,21,129,1,26,1,0,43,440,2,198,233,1112
2011-11-11,6,0,12,4,22,140,1,27,2,0,42,447,2,195,233,1133
2011-11-18,3,0,11,5,22,138,1,27,2,0,44,445,2,195,230,1125
2011-11-25,4,0,12,4,21,138,1,28,2,0,41,442,6,197,234,1130
2011-12-02,4,0,12,4,18,142,1,28,2,0,36,445,6,200,234,1132
2011-12-09,4,0,14,9,21,141,0,29,2,0,47,446,6,198,244,1161
2011-12-16,4,0,13,9,21,143,0,33,2,1,48,449,10,201,262,1196
2011-12-23,4,0,9,14,19,151,0,34,1,1,51,451,10,193,263,1201
2011-12-30,4,0,9,15,19,155,0,32,1,1,51,447,8,194,257,1193
2012-01-06,4,0,10,19,19,153,0,35,1,1,46,446,8,193,256,1191
2012-01-13,3,0,12,21,20,152,0,38,0,0,41,448,5,197,254,1191
2012-01-20,2,0,12,21,22,152,0,44,1,0,49,447,4,205,264,1223
2012-01-27,2,0,13,18,21,147,0,46,1,0,49,445,3,201,279,1225
2012-02-03,2,0,13,20,23,147,0,49,1,0,51,450,14,200,275,1245
2012-02-10,2,0,13,20,23,148,0,49,1,0,52,456,14,202,283,1263
2012-02-17,0,0,12,19,21,151,0,46,2,0,60,456,13,204,288,1272
2012-02-24,0,0,13,20,21,154,0,51,3,0,55,451,12,206,279,1265
2012-03-02,0,0,13,18,18,165,0,53,2,0,62,457,10,212,283,1293
2012-03-09,0,0,17,18,18,168,0,55,2,0,64,453,10,212,279,1296
2012-03-16,0,0,18,23,19,167,0,58,2,0,68,449,10,215,288,1317
2012-03-23,0,0,16,20,19,170,0,60,2,0,66,446,11,214,289,1313
2012-03-30,1,0,16,17,17,167,0,66,2,0,65,450,11,218,288,1318
2012-04-06,1,1,16,15,17,169,0,70,0,0,65,458,13,216,288,1329
2012-04-13,1,1,15,16,18,168,0,71,0,0,64,457,13,214,284,1322
2012-04-20,1,1,15,15,21,170,0,75,0,0,63,465,13,212,286,1337
2012-04-27,1,1,16,15,21,172,0,70,0,0,62,475,13,214,268,1328
2012-05-04,0,1,15,15,22,173,0,67,0,0,62,483,17,215,285,1355
2012-05-11,0,1,15,14,20,172,0,75,0,1,65,482,17,216,294,1372
2012-05-18,0,1,15,15,24,169,0,75,0,0,63,485,18,218,299,1382
2012-05-25,4,0,14,14,24,167,0,69,0,0,66,484,19,223,299,1383
2012-06-01,4,0,13,15,24,167,0,70,0,0,63,490,21,224,295,1386
2012-06-08,5,0,15,17,26,173,0,69,0,0,66,492,19,223,309,1414
2012-06-15,7,0,14,17,21,161,0,68,1,0,65,495,21,220,315,1405
2012-06-22,8,0,13,17,20,164,0,70,1,1,67,503,21,220,316,1421
2012-06-29,9,0,15,17,21,161,0,68,1,1,75,504,19,212,318,1421
2012-07-06,8,0,15,14,22,163,0,69,0,2,70,495,18,215,328,1419
2012-07-13,9,0,17,16,22,166,0,70,0,1,67,499,19,218,323,1427
2012-07-20,10,0,17,15,22,165,0,74,0,1,66,487,18,219,320,1414
2012-07-27,10,0,20,15,24,162,0,71,0,1,69,486,18,214,326,1416
2012-08-03,10,0,19,15,25,154,0,71,0,1,75,492,18,211,338,1429
2012-08-10,9,0,19,16,26,161,0,68,0,1,76,489,19,213,335,1432
2012-08-17,9,0,20,18,29,158,0,58,3,1,74,488,19,208,340,1425
2012-08-24,9,0,19,18,26,158,0,58,3,1,77,489,17,208,325,1408
2012-08-31,9,0,17,18,26,158,0,59,4,1,80,488,18,208,333,1419
2012-09-07,8,0,17,21,28,162,0,54,4,1,82,479,18,205,330,1409
2012-09-14,8,0,17,19,25,162,0,55,4,1,85,483,18,201,335,1413
2012-09-21,6,0,17,16,23,158,0,56,4,0,87,480,18,201,336,1402
